id,question,answer
145,Where does the director of film The Marquise Of O (Film) work at?,"He edited the influential film journal, ""Cahiers du cinéma"", from 1957 to 1963, while most of his colleagues—among them Jean-Luc Godard and François Truffaut—were making the transition from film critics to filmmakers and gaining international attention."
146,"Which film whose director is younger, Joe Palooka In Fighting Mad or Figaro-Ci, Figaro-Là?",Hervé Bromberger( 11 November 1918 – 25 November 1993) was a French film director and screenwriter.
147,"Which film was released first, Ekam – Son Of Soil or Farber'S Nerve?","Ekam – Son of Soil is a 2010 Punjabi film directed by Mandeep Benipal( who earlier assisted Gaurav Trehan in"" Hashar"") with story, screenplay and dialogues by Master Tarlochan Singh, produced by B S Maan( Khant) and Darshan Singh Grewal( executive producer), and starring Babbu Maan, Mandy Takhar, Mohitinder Bawa, Bhagwant Mann, Amrik Gill, Binnu Dhillon, Anita Shabdeesh, Tarsem Paul, Surinder Rehal, Garry Waraich and Ravinder Mand."
148,Which country Mohammed Al-Modiahki's wife is from?,"In 2001, she became China's second women's world chess champion after Xie Jun, and China's 13th Grandmaster."
149,Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?,"Sachin Pilgaonkar( born 17 August 1957), often known by his first name Sachin, is an Indian film and television actor, director, singer and producer."
150,Who is Philip Of Sicily's father?,"Beatrice of Provence (c. 122923 September 1267), was ruling Countess of Provence and Forcalquier from 1245 until her death, as well as Countess of Anjou and Maine, Queen of Sicily and Naples by marriage to Charles I of Naples."
151,"Who was born later, Gideon Johnson Pillow or Holm Jølsen?","Gideon Johnson Pillow (June 8, 1806 – October 8, 1878) was an American lawyer, politician, speculator, slaveowner, United States Army major general of volunteers during the Mexican–American War and Confederate brigadier general in the American Civil War."
152,"Which film has the director who died first, The Crime Doctor'S Courage or Vasantha Sena (1967 Film)?","Bindiganavile Srinivas Iyengar Ranga( 11 November 1917 – 12 December 2010) was an Indian photographer, actor, producer and director who has made many landmark movies in Kannada, Tamil and Telugu."
153,"Where did the director of film My Heidelberg, I Can Not Forget You die?","Mein Heidelberg, ich kann Dich nicht vergessen) is a 1927 German silent film directed by James Bauer and starring Dorothea Wieck, and Hans Adalbert Schlettow."
154,"Which film was released earlier, Tiger Of The Seven Seas or My Wife'S Lodger?","La tigre dei sette mari, internationally released as Tiger of the Seven Seas, is a 1962 Italian adventure film directed by Luigi Capuano."
155,Do Alice Mary Dowd and Richard N. Palmer have the same nationality?,"Following law school, Palmer clerked for Judge Jon O. Newman, then of the United States District Court for the District of Connecticut."
156,Who is the father of the director of film Wonders Of The Sea 3D?,Wonders of the Sea 3D is a 2017 American documentary film co-directed by Jean-Michel Cousteau and narrated by Arnold Schwarzenegger.
157,"Which film has the director died first, Le Guignolo or Knights Of The Range?","Georges Lautner( 24 January 1926 – 22 November 2013) was a French film director and screenwriter, known primarily for his comedies created in collaboration with screenwriter Michel Audiard."
158,"Who died later, Narcís Ventalló or H. Verlan Andersen?","Hans Verlan Andersen( November 6, 1914 – July 16, 1992) was a general authority of The Church of Jesus Christ of Latter- day Saints( LDS Church) and a professor at Brigham Young University( BYU)."
159,"Which film was released first, The Beginning Or The End or Hold Back The Night?","The Beginning or the End is a 1947 American docudrama film about the development of the atomic bomb in World War II, directed by Norman Taurog, starring Brian Donlevy and Hume Cronyn, and released by Metro- Goldwyn- Mayer."
160,"Who is younger, Aneta Hladíková or René Poupardin?","René Poupardin( 27 February 1874 – 23 August 1927) was a French medievalist and paleographer whose most important works were on Burgundy, Provence and the south Italian principalities."
161,Where was the place of death of Prince Christopher Of Greece And Denmark's father?,"Prince Christopher of Greece and Denmark (10 August 1888 – 21 January 1940) was the fifth and youngest son and youngest child of King George I of Greece, belonging to a dynasty which mounted and lost the throne of Greece several times during his lifetime."
162,What is the place of birth of the director of film Guilty Of Treason?,"Guilty of Treason is a 1950 American drama film directed by Felix E. Feist and starring Charles Bickford, Bonita Granville and Paul Kelly."
163,"Where did Charles Stewart, 3Rd Duke Of Richmond's father graduate from?","Charles Stewart, 3rd Duke of Richmond, 6th Duke of Lennox KG (7 March 1639December 1672) was the only son of George Stewart, 9th Seigneur d'Aubigny and Katherine Howard, daughter of Theophilus Howard, 2nd Earl of Suffolk."
164,What is the place of birth of the performer of song I Wish (Gabrielle Song)?,"""I Wish"" is a song by English singer Gabrielle."
165,When was the director of film Jinpa born?,"Pema Tseden , also called Wanma Tsaidan (born December 1969), is a Tibetan film director and screenwriter of Chinese citizenship."
166,"Which film whose director is younger, Kalippava or A Couch In New York?","Chantal Anne Akerman( 6 June 19505 October 2015) was a Belgian film director, screenwriter, artist, and film professor at the City College of New York."
167,"Which film has the director who died earlier, The Love Charm or The Constant Woman?","The Constant Woman( 1933), also known as Auction in Souls and Hell in a Circus, is an American Pre- Code film directed by Victor Schertzinger."
168,"Which film came out earlier, Dis-Moi Qui Tuer or Under The Hawthorn Tree (Film)?",Dis- moi qui tuer( English title: Tell Me Whom to Kill) is a 1965 French drama film directed by Étienne Périer.
169,Where was the place of death of Tamatoa Vi's father?,"Prince Ari'imate Teururai later known as King Tamatoa VI (1853 – 15 September 1905), was a member of a Tahitian royal family, the ""House of Teururai"" which reigned on the Tahitian island of Huahiné and Maia'o during the 19th century."
170,Where did the director of film Old Man Drinking A Glass Of Beer die?,"George Albert Smith (4 January 1864 – 17 May 1959) was an English stage hypnotist, psychic, magic lantern lecturer, Fellow of the Royal Astronomical Society, inventor and a key member of the loose association of early film pioneers dubbed the Brighton School by French film historian Georges Sadoul."
171,"What is the date of death of Henry St John, 18Th Baron St John Of Bletso's father?","Beauchamp Moubray St John, 17th Baron St John of Bletso (4 December 1844 – 10 May 1912) was an English peer."
172,"Who is younger, Justin Paul or Helly Shah?","Justin Paul( born January 3, 1985) is an American theater and television composer and lyricist best known for his works The Greatest Showman, La La Land and Dear Evan Hansen."
173,Who was born first out of Marco De Luigi and Fabio Maistro?,Marco de Luigi( born 21 March 1978) is a Sammarinese footballer who plays for Juvenes/ Dogana and the San Marino national football team.
174,"Which film has the director who died earlier, Guns And Guitars or To The Victor?","Jasper Joseph Inman Kane( March 19, 1894, San Diego – August 25, 1975, Santa Monica, California) was an American film director, film producer, film editor and screenwriter."
175,"Which film has the director who died later, His Last Haul or The Falcon In San Francisco?","Joseph H. Lewis( April 6, 1907 – August 30, 2000) was an American B-movie film director whose stylish flourishes came to be appreciated by auteur theory- espousing film critics in the years following his retirement in 1966."
176,"Who is Edward De Vere, 17Th Earl Of Oxford's paternal grandfather?","John de Vere, 16th Earl of Oxford (1516 – 3 August 1562) was born to John de Vere, 15th Earl of Oxford and Elizabeth Trussell, daughter of Edward Trussell."
177,Where was the place of death of Alexander Carl Otto Westphal's father?,He was the son of the psychiatrist Carl Friedrich Otto Westphal (1833–1890) and Clara Mendelssohn and the grandson of Otto Carl Friedrich Westphal.
178,"Which film has the director born earlier, Jayam Manade or Bulldog Drummond'S Revenge?","Bulldog Drummond's Revenge is a 1937 black- and- white detective film directed by Louis King, produced by Stuart Walker, written by Edward T. Lowe Jr. and Herman C. McNeile( novel), and featuring John Barrymore."
179,"Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?","Pasquale Festa Campanile( 28 July 1927 – 25 February 1986) was an Italian screenwriter, film director and novelist, mostly known as a prominent exponent of the commedia all'italiana genre."
180,Where was the place of death of Alessandro Vitelli's father?,"He worked as a mercenary for the republic of Florence, which he was suspected of treachery and executed."
181,Where was the performer of song Bag Skyerne born?,"Anne Mondrup Gadegaard Jensen (born 7 November 1991 in Århus, Region Midtjylland, Denmark), better known as Anne Gadegaard, is a Danish singer and songwriter."
182,Are both directors of films 16 To Life and Saved By The Belles from the same country?,"Rebecca Gwendolyn Smith( born June 3, 1959), later known by her married name Becky Wiber, is a Canadian former medley and butterfly swimmer who won the bronze medal in the women's 400- metre individual medley at the 1976 Summer Olympics in Montreal, Quebec, Canada, finishing behind East German Ulrike Tauber( gold) and her Canadian teammate Cheryl Gibson( silver)."
183,Where was the mother of Francis Ii Of France born?,"Although the royal age of majority had been set at fourteen, his mother, Catherine de' Medici, entrusted the reins of government to his wife's uncles from the House of Guise, staunch supporters of the Catholic cause."
184,"Who was born later, Marc De Clerck or Wiesław Perszke?","Wiesław Perszke( born February 18, 1960 in Jabłonowo Pomorskie, Kuyavian- Pomeranian) is a former long- distance runner from Poland, who represented his native country at the 1992 Summer Olympics in Barcelona, Spain."
185,"Which film has the director born later, Jesse James' Women or Ride Lonesome?","Ride Lonesome is a 1959 American CinemaScope Western film directed by Budd Boetticher and starring Randolph Scott, Karen Steele, Pernell Roberts, Lee Van Cleef, and James Coburn in his film debut."
186,What nationality is the director of film Madeleine (1950 Film)?,"Madeleine is a 1950 film directed by David Lean, based on a true story about Madeleine Smith, a young Glasgow woman from a wealthy family who was tried in 1857 for the murder of her lover, Emile L'Angelier."
